ds,yhat,yhat_lower,yhat_upper,y,cutoff
2011-03-13,10.551921387412,9.413230648238196,11.61205148947751,10.526399,2011-03-07
2011-03-14,10.448292929056803,9.302894840524,11.541523244655473,10.834405,2011-03-07
2011-03-15,10.516508208692194,9.372913764957886,11.618673112812322,10.216003,2011-03-07
2011-03-16,10.70383103201691,9.510550607701004,11.762339494662774,9.72746,2011-03-07
2011-03-17,10.573723011370978,9.480716494971011,11.769099778693084,9.786156,2011-03-07
2011-03-18,10.458438656205663,9.394713954411321,11.677453235761186,9.230999,2011-03-07
2011-03-19,10.37957956768192,9.293583955061365,11.504173042351884,9.258907,2011-03-07
2011-03-20,10.48532147088936,9.313798049949762,11.622064696925964,9.917564,2011-03-07
2011-03-21,10.420600836637947,9.21808724274128,11.490938370509404,10.031263,2011-03-07
2011-04-05,10.079027780862667,8.891601579756426,11.254171870396725,9.285119,2011-04-04
2011-04-06,10.06828754247486,8.920287532326807,11.26733053029095,9.363808,2011-04-04
2011-04-07,10.056958852624263,8.917056755864797,11.304289606531826,9.503603,2011-04-04
2011-04-08,10.199569774981633,9.060720054266497,11.26954428101048,9.136756,2011-04-04
2011-04-09,10.28387322470434,9.068438109672108,11.488509119371443,10.211618,2011-04-04
2011-04-10,10.312593293369785,9.115231675065706,11.584132396617631,9.745578,2011-04-04
2011-04-11,10.357532386084447,9.075583108176234,11.507796816368508,8.940549,2011-04-04
2011-04-12,10.31248012358421,9.161014310531213,11.524199245901945,9.173926,2011-04-04
2011-04-13,10.18073401969972,8.896157046360662,11.363740791040435,9.264799,2011-04-04
2011-04-14,10.216847280138234,8.985646038669934,11.324673514901813,9.326969,2011-04-04
2011-04-15,10.02758013189398,8.82856635955284,11.219621397110615,10.035202,2011-04-04
2011-04-16,9.841783196458573,8.718551203286653,11.038878138014313,9.166625,2011-04-04
2011-04-17,9.838222571353299,8.72461157358754,10.994107621186442,9.850414,2011-04-04
2011-05-03,8.830211437872117,7.653163012152355,10.057959060972848,10.306418,2011-05-02
2011-05-04,8.655781566385441,7.436328819832532,9.863986447570197,10.23262,2011-05-02
2011-05-05,8.673681313693194,7.4526802979727815,9.803959768487033,9.912309,2011-05-02
2011-05-06,8.736019471278029,7.5247992144076035,9.958245330629387,9.588003,2011-05-02
2011-05-07,8.536212452475207,7.3323992289036966,9.763944213637613,9.105043,2011-05-02
2011-05-08,8.511371860865994,7.260261836034616,9.680798253159189,8.520731,2011-05-02
2011-05-09,8.388986182341311,7.150418961953146,9.530605108345025,8.883159,2011-05-02
2011-05-10,8.290231873459568,7.1199311473591935,9.411406967716982,8.865197,2011-05-02
2011-05-11,8.199414027247315,6.928332443226053,9.372171352708195,7.971392,2011-05-02
2011-05-12,8.167842834585096,7.025381963233978,9.37566445495752,8.108492,2011-05-02
2011-05-13,7.828263468166047,6.680115115105096,9.003487392864995,7.964357,2011-05-02
2011-05-14,7.729946320689822,6.536974150670949,8.93475528237926,7.909803,2011-05-02
2011-05-15,7.795271674702258,6.531033300013726,8.922437648875915,6.892236,2011-05-02
2011-05-16,7.903323288314418,6.820700479838041,9.10436451949363,7.269489,2011-05-02
2011-05-31,7.76707311677332,6.660027955261666,8.908734147923099,7.853175,2011-05-30
2011-06-01,7.679029802337369,6.510526196910901,8.904108095358986,7.725161,2011-05-30
2011-06-02,7.802179582956252,6.658579585221957,8.972712514274678,6.962617,2011-05-30
2011-06-03,7.641258744441941,6.417811653061516,8.825896817452135,6.89943,2011-05-30
2011-06-04,7.516509116125503,6.319276855151559,8.717716123679354,6.00195,2011-05-30
2011-06-05,7.46013429049655,6.261952974193966,8.688951530938592,6.650323,2011-05-30
2011-06-06,7.419347701104749,6.26085152321321,8.527204660628463,6.895821,2011-05-30
2011-06-07,7.2308639064322815,6.111064837197563,8.333127769469213,7.025307,2011-05-30
2011-06-08,7.458321152166349,6.289705191957497,8.671110025359955,7.031266,2011-05-30
2011-06-09,7.372941101096041,6.171432571285285,8.567290444202037,6.890945,2011-05-30
2011-06-10,7.280161448019544,6.066041724857901,8.412698672702072,7.393483,2011-05-30
2011-06-11,7.27068449512569,6.109298956671318,8.454950567513018,7.264284,2011-05-30
2011-06-12,7.410417274094168,6.245409487641749,8.545911972304234,6.852595,2011-05-30
2011-06-13,7.261461814098545,6.086254869040422,8.406704060930188,7.097121,2011-05-30
2011-06-28,7.123421389990502,5.929630319590213,8.284518247398266,6.174378,2011-06-27
2011-06-29,6.913814571359361,5.667552055803181,8.125000296048645,5.624252,2011-06-27
2011-06-30,6.919977879923635,5.712424156228706,8.084985829813089,5.836523,2011-06-27
2011-07-01,7.01887400651538,5.845618489791477,8.168316208540164,6.19707,2011-06-27
2011-07-02,7.142611478291112,5.89610437621915,8.351038524507631,6.383378,2011-06-27
2011-07-03,7.2477792308962075,5.994332535200051,8.428926146710763,6.560154,2011-06-27
2011-07-04,7.184176623337182,5.979685873305187,8.339822225488955,6.14639,2011-06-27
2011-07-05,7.160146487532993,6.046633461735829,8.311371619111652,6.987018,2011-06-27
2011-07-06,7.089462379675769,5.855384603929664,8.246146723620395,7.082673,2011-06-27
2011-07-07,7.260093309635115,6.0394582135310495,8.331180804114421,7.462495,2011-06-27
2011-07-08,7.473150867048156,6.346826936942143,8.62795360024422,6.368849,2011-06-27
2011-07-09,7.2877430509882135,6.065931590692041,8.481371501570134,6.098844,2011-06-27
2011-07-10,7.24290545053702,6.020606758726118,8.386801401348885,5.923191,2011-06-27
2011-07-11,7.364939130205707,6.235566072369605,8.553000616471412,6.47454,2011-06-27
2011-07-26,7.254476281874721,6.108149967492314,8.50062101328705,6.267229,2011-07-25
2011-07-27,7.12516876719919,5.993552843299137,8.371154721526874,6.156772,2011-07-25
2011-07-28,7.4531240558490826,6.286012406291317,8.515194816481097,6.771155,2011-07-25
2011-07-29,7.1437846816882855,5.995461327044786,8.31038583090752,6.932895,2011-07-25
2011-07-30,7.1913568713165965,5.991781105041229,8.311892936536749,7.420274,2011-07-25
2011-07-31,7.094826735805393,5.986401402374531,8.370118410661348,7.341659,2011-07-25
2011-08-01,7.040258603951893,5.804743729287126,8.189466349817224,7.342306,2011-07-25
2011-08-02,7.165015478897936,6.057619993256909,8.304088326113208,6.920706,2011-07-25
2011-08-03,7.087880487616879,5.909106032158581,8.194005741621542,6.931656,2011-07-25
2011-08-04,6.991983066339706,5.857935091617149,8.123509394721857,7.032627,2011-07-25
2011-08-05,7.190567170929453,6.085687238490138,8.314016908135843,7.238261,2011-07-25
2011-08-06,7.040054727179271,5.857889938275922,8.234729746198022,6.339818,2011-07-25
2011-08-07,7.205459934527131,6.11827954601971,8.322129869159431,6.086989,2011-07-25
2011-08-08,7.167043167036913,6.033651257886749,8.34737928777247,5.97468,2011-07-25
2011-08-23,7.789899538199297,6.655049158740268,8.9412507022424,7.283266,2011-08-22
2011-08-24,7.85755225572964,6.680998883713837,8.95145147322323,7.250674,2011-08-22
2011-08-25,7.8223368048905835,6.561664395143348,8.967990888687881,6.559076,2011-08-22
2011-08-26,7.923259400834685,6.76344629172338,9.155349358289515,7.014387,2011-08-22
2011-08-27,8.076998960454937,6.858928989236258,9.222861995435725,6.583196,2011-08-22
2011-08-28,8.026873004546509,6.861061929966678,9.209230764660125,6.904485,2011-08-22
2011-08-29,8.012159581212549,6.905142720856675,9.269152614868597,7.485671,2011-08-22
2011-08-30,7.841405940447963,6.646228800392165,9.157152844045768,7.748412,2011-08-22
2011-08-31,7.885777939458363,6.743662221491735,9.044496335065318,8.013144,2011-08-22
2011-09-01,8.121966846745654,6.984875478016318,9.275960175689384,8.155917,2011-08-22
2011-09-02,8.084778976839472,6.895360000053422,9.230214575721616,7.25042,2011-08-22
2011-09-03,8.082857869832441,6.8696166952576405,9.212547729579564,7.521529,2011-08-22
2011-09-04,8.163761453908267,6.992717054614523,9.343430422459436,8.542509,2011-08-22
2011-09-05,8.073764573889367,6.931334134829244,9.261071210845147,8.983507,2011-08-22
2011-09-20,8.000785471517698,6.843935420965565,9.207286852826112,7.849619,2011-09-19
2011-09-21,7.952813426274753,6.881102988752793,9.065240631789115,8.271599,2011-09-19
2011-09-22,7.917422582676934,6.747237681756288,9.001758164233854,7.397454,2011-09-19
2011-09-23,7.966583506916462,6.8772203236038045,9.084674234890896,7.466226,2011-09-19
2011-09-24,7.891959114834138,6.8192258455229595,8.99050231057114,7.259572,2011-09-19
2011-09-25,7.865511868199269,6.685356639912836,9.08482085398548,7.097227,2011-09-19
2011-09-26,7.865676520198123,6.78477191434725,8.995102239927235,7.351713,2011-09-19
2011-09-27,7.822280218594488,6.689080798290092,8.955971327934138,7.642681,2011-09-19
2011-09-28,7.882497992832874,6.816403532778457,9.079122621271916,7.652934,2011-09-19
2011-09-29,7.851129278464416,6.638051415081231,8.984642243232226,7.31648,2011-09-19
2011-09-30,7.999823188187078,6.80507402798498,9.145521801469158,7.100937,2011-09-19
2011-10-01,7.890281902191402,6.714879382408575,9.05680387744636,7.433692,2011-09-19
2011-10-02,8.06754449801718,6.935174229658526,9.112616820864767,8.178443,2011-09-19
2011-10-03,8.045430884683768,6.8763526175047565,9.17149489574894,7.484823,2011-09-19
2011-10-18,8.58178998864506,7.362723474632185,9.721372675418994,8.308327,2011-10-17
2011-10-19,8.64647221827427,7.499885434158893,9.841799479008369,8.306491,2011-10-17
2011-10-20,8.870476684680193,7.662355153789662,10.055109507891716,8.496222,2011-10-17
2011-10-21,8.826238249962493,7.714805561632951,10.005834699451858,8.291549,2011-10-17
2011-10-22,8.806195905648947,7.660696290750693,10.02659199131045,8.167752,2011-10-17
2011-10-23,8.826228185876486,7.513931530245824,9.972207227467848,9.06415,2011-10-17
2011-10-24,8.82296476268791,7.666996736283162,9.907087852293747,9.034385,2011-10-17
2011-10-25,8.753369974429148,7.578571966698537,9.863152172158578,9.626372,2011-10-17
2011-10-26,8.667959479203375,7.524751546087539,9.84929238296303,9.31236,2011-10-17
2011-10-27,8.626587607916747,7.4661119170739525,9.7603355181033,9.25523,2011-10-17
2011-10-28,8.539718880177581,7.343875856218791,9.632861613837678,9.571067,2011-10-17
2011-10-29,8.434009570147241,7.208075798188234,9.66242634408257,8.228864,2011-10-17
2011-10-30,8.426218129290913,7.180972661453238,9.600142069676256,8.697138,2011-10-17
2011-10-31,8.579646204024035,7.384980685873409,9.719560589026198,8.351223,2011-10-17
2011-11-15,8.479627090986263,7.400395120245397,9.69728485882788,7.093128,2011-11-14
2011-11-16,8.60126946314634,7.4215424093432665,9.83289856364514,8.481675,2011-11-14
2011-11-17,8.650037866608516,7.494342812403212,9.745526081853459,7.430289,2011-11-14
2011-11-18,8.59125533993438,7.367013869360223,9.65909729632399,7.758302,2011-11-14
2011-11-19,8.751122545629709,7.622238360769796,9.916229045805185,7.423771,2011-11-14
2011-11-20,8.662991553713637,7.486694660454265,9.7762677318409,8.007255,2011-11-14
2011-11-21,8.714834965451065,7.509684282371719,9.871272991417666,9.20101,2011-11-14
2011-11-22,8.768435257897092,7.5951807049861335,9.880962661853264,9.168995,2011-11-14
2011-11-23,8.885339994372563,7.700357499171364,10.030872075070326,9.152912,2011-11-14
2011-11-24,8.95796985316694,7.767727682751496,10.026923589353908,8.906122,2011-11-14
2011-11-25,8.879047538534918,7.712176814063219,10.12875698578945,9.086101,2011-11-14
2011-11-26,8.974063829421384,7.839368181549646,10.161948181437301,9.396544,2011-11-14
2011-11-27,9.117451528621725,7.989556510609055,10.26985007469295,9.53267,2011-11-14
2011-11-28,9.079877958050517,8.01182466043451,10.261296070128317,9.04051,2011-11-14
2011-12-13,9.795839893093554,8.601769873774055,10.904371449860434,10.066866,2011-12-12
2011-12-14,9.731115174961946,8.59589890274281,10.95192630424385,10.714607,2011-12-12
2011-12-15,9.564442549848835,8.370389710919357,10.720541643803232,10.485365,2011-12-12
2011-12-16,9.685574108290178,8.478456424764317,10.827421638656551,10.400092,2011-12-12
2011-12-17,9.92999639084715,8.749230825778909,11.069082286056759,10.588457,2011-12-12
2011-12-18,10.024034061626937,8.805905153026934,11.185018058958672,11.164107,2011-12-12
2011-12-19,10.184611991220383,8.991597419793932,11.404810129661007,10.75264,2011-12-12
2011-12-20,10.211073760026496,9.133147462449923,11.263101925550856,11.109282,2011-12-12
